epoch_600,epoch_800,epoch_1000,epoch_100,latest,experiment,epoch_700,epoch_300,epoch_400,epoch_500,epoch_200
,,,1.8539491,,20180604_train_processed_orig__07_epochs_1000_batch_size_256_gen_updates_2,,2.203875,,,
,,,,3.3723245,20180528_train_segmented_07_epochs_1000_gen_updates_10_after_700_epochs,,,,,
,,3.3568554,2.556028,,20180530_elephant_processed_segmented_cropped_07_epochs_1000_batch_size_256_gen_updates_2,2.8768017,2.671993,,3.5533953,
,,3.9064984,2.1683183,,20180530_laptop_processed_segmented_cropped_07_epochs_1000_batch_size_256_gen_updates_5,3.5751448,2.7043593,,3.0119138,
2.6037567,2.6257455,,1.8699412,,elephant_transfer,3.0983171,3.0062227,2.2038927,2.9122243,3.0527442
,,3.1009016,2.1881204,,20180602_elephant_processed_segmented_cropped__07_epochs_1000_batch_size_256_gen_updates_1,3.4128726,3.8739522,,3.468407,
,,3.1266363,1.3687216,,20180530_laptop_processed_segmented_cropped_07_epochs_1000_batch_size_256_gen_updates_40,2.7697167,1.8266356,,2.1473675,
,,,,2.1604168,20180528_elephant_segmented_07_epochs_1000_gen_updates_10_after_300_epochs,,,,,
,,,5.688706,,20180603_ELT_processed_segmented_cropped_transfer_07_epochs_1000_batch_size_256_gen_updates_2,,4.5687704,,5.2207947,
,,,1.4991424,,20180604_elephant_processed_orig__07_epochs_1000_batch_size_256_gen_updates_2,,1.4254469,,2.4768898,
,,4.202556,2.7715697,,20180601_train_processed_segmented_cropped_transfer_07_epochs_1000_batch_size_256_gen_updates_2,2.8221927,5.1217103,,3.842096,
,,,,3.538264,20180528_elephant_segmented_07_epochs_1000_gen_updates_10_after_700_epochs,,,,,
,,2.423352,1.5304714,,20180531_elephant_processed_segmented_cropped_07_epochs_1000_batch_size_256_gen_updates_40,2.0926244,2.1857197,,2.0504289,
,,3.1390126,1.383108,,20180530_laptop_processed_segmented_cropped_07_epochs_1000_batch_size_256_gen_updates_10,2.661161,2.2004943,,2.5257978,
,,,3.1188943,,20180530_train_processed_segmented_cropped_07_epochs_1000_batch_size_256_gen_updates_5,3.6569638,2.995212,,3.0474963,
,,,,2.5982752,20180528_train_segmented_07_epochs_1000_gen_updates_10_after_300_epochs,,,,,
,,,5.957367,,20180603_ELT_processed_segmented_cropped_07_epochs_1000_batch_size_256_gen_updates_2,,7.1459274,,7.0390124,
,,2.603098,2.567207,,20180601_elephant_processed_segmented_cropped_transfer_07_epochs_1000_batch_size_256_gen_updates_2,2.8354084,2.646462,,2.6173437,
,,3.23755,2.3693426,,20180601_laptop_processed_segmented_cropped_transfer_07_epochs_1000_batch_size_256_gen_updates_2,2.603086,2.7768426,,2.3402267,
,,2.9595673,2.5690966,,20180530_train_processed_segmented_cropped_07_epochs_1000_batch_size_256_gen_updates_2,3.6795936,4.5864716,,5.129504,
,,3.207524,2.1330745,,20180602_elephant_processed_segmented_cropped_07_epochs_1000_batch_size_256_gen_updates_2_caption_len_4800,2.9460452,2.8502617,,3.0224335,
,,2.2979157,1.5384305,,20180530_elephant_processed_segmented_cropped_07_epochs_1000_batch_size_256_gen_updates_20,2.2846801,2.2698328,,2.206286,
,,,2.4452193,,20180530_train_processed_segmented_cropped_07_epochs_1000_batch_size_256_gen_updates_10,,2.9617796,,2.8779383,
,,,,2.7313008,20180528_elephant_segmented_07_epochs_1000_gen_updates_5_after_700_epochs,,,,,
,,4.4077377,2.7715156,,20180530_laptop_processed_segmented_cropped_07_epochs_1000_batch_size_256_gen_updates_2,3.6639228,4.2409577,,3.8974495,
,,2.8406057,1.7984562,,20180530_elephant_processed_segmented_cropped_07_epochs_1000_batch_size_256_gen_updates_5,2.278754,2.3606334,,2.7144096,
,,,,2.9009502,20180528_laptop_segmented_07_epochs_1000_gen_updates_10_after_300_epochs,,,,,
,,2.234921,1.6695416,,20180604_elephant_processed_segmented_cropped_07_epochs_1000_batch_size_256_gen_updates_2_extra_64,2.8256052,2.224351,,3.1005511,
,,,1.7128048,,20180604_laptop_processed_orig__07_epochs_1000_batch_size_256_gen_updates_2,,2.3276567,,3.749613,
,,2.3698962,1.5243767,2.5989335,20180530_elephant_processed_segmented_cropped_07_epochs_1000_batch_size_256_gen_updates_10,2.043075,2.1786077,,2.0761278,
,,1.5435513,1.3197258,,20180604_elephant_processed_segmented_cropped_07_epochs_1000_batch_size_256_gen_updates_2_extra_32,1.6257277,1.5558805,,1.7479317,
,,,,2.9396112,20180528_laptop_segmented_07_epochs_1000_gen_updates_10_after_700_epochs,,,,,
